"time","light","temperature"
"2015-02-12 01:45:04",463,26.784
2015-02-12 02:00:03,473,26.63
2015-02-12 02:15:04,467.9,25.983
2015-02-12 02:30:04,0,25.453
2015-02-12 02:45:04,0,23.65
2015-02-12 03:00:04,0,22.53
2015-02-12 03:15:04,0,21.58
2015-02-12 03:30:04,0,20.81
2015-02-12 03:45:04,0,20.156
2015-02-12 04:00:04,0,19.583
2015-02-12 04:15:03,0,19.09
2015-02-12 04:30:03,0,18.67
2015-02-12 04:45:04,0,18.41
2015-02-12 05:00:04,0,18.07
2015-02-12 05:15:04,0,17.72
2015-02-12 05:30:04,0,17.47
2015-02-12 05:45:04,0,17.21
2015-02-12 06:00:04,0,16.87
2015-02-12 06:15:04,0,16.7
2015-02-12 06:30:04,5.3,16.44
2015-02-12 06:45:04,17.8,16.243
2015-02-12 07:00:04,44,16.1
2015-02-12 07:15:04,85.7,15.93
2015-02-12 07:30:04,122,15.75
2015-02-12 07:45:03,140,15.67
2015-02-12 08:00:03,154.3,18.07
2015-02-12 08:15:03,286,19.52
2015-02-12 08:30:04,366,20.38
2015-02-12 08:45:04,383.8,21.58
2015-02-12 09:00:04,385.4,22.35
2015-02-12 09:15:04,390,23.13
2015-02-12 09:30:04,380,23.65
2015-02-12 09:45:03,377,24
2015-02-12 10:00:04,374.3,24.26
2015-02-12 10:15:03,359,24.61
2015-02-12 10:30:03,751,25.121
2015-02-12 10:45:04,724.4,25.462
2015-02-12 11:00:04,696,25.57
2015-02-12 11:15:03,700,24.96
2015-02-12 11:30:04,655.9,24.87
2015-02-12 11:45:04,654,24.08
2015-02-12 12:00:03,642,22.87
2015-02-12 12:15:03,599.7,22.01
2015-02-12 12:30:04,521.2,21.872
2015-02-12 12:45:04,565,22.27
2015-02-12 13:00:03,486.7,22.53
2015-02-12 13:15:04,525.1,22.78
2015-02-12 13:30:04,569,22.78
2015-02-12 13:45:03,521.4,22.96
2015-02-12 14:00:04,480,23.04
2015-02-12 14:15:04,558.2,22.35
2015-02-12 14:34:56,597,23.04
2015-02-12 14:47:23,592,22.87
2015-02-12 15:02:52,594,22.636
2015-02-12 15:15:04,580,22.636
2015-02-12 15:28:42,566,22.61
2015-02-12 15:30:03,567,22.61
2015-02-12 15:32:25,563.1,22.717
2015-02-12 15:45:04,542,22.724
2015-02-12 15:47:46,537,22.78
2015-02-12 16:00:03,518.4,22.96
2015-02-12 16:15:05,487,22.87
2015-02-12 16:30:04,456,22.53
2015-02-12 16:45:04,357.4,22.35
2015-02-12 17:00:05,260,22.27
2015-02-12 17:15:04,132,22.1
2015-02-12 17:30:04,23,22.01
2015-02-12 17:45:04,0,22.01
2015-02-12 18:00:04,0,22.01
2015-02-12 18:15:04,0,21.92
2015-02-12 18:30:04,0,21.92
2015-02-12 18:45:04,493.3,22.18
2015-02-12 19:00:04,488.3,22.53
2015-02-12 19:15:03,492.2,22.87
2015-02-12 19:30:05,484.8,23.04
2015-02-12 19:45:04,486.2,23.04
2015-02-12 20:00:03,488.8,23.04
2015-02-12 20:15:04,484.1,23.04
2015-02-12 20:30:04,492.7,23.04
2015-02-12 20:45:04,483,23.13
2015-02-12 21:00:04,482.1,23.112
2015-02-12 21:15:04,486.7,23.363
2015-02-12 21:30:04,483.7,23.82
2015-02-12 21:45:04,486.7,24.52
2015-02-12 22:00:03,488.5,24.439
2015-02-12 22:15:04,483.8,24.43
2015-02-12 22:30:05,492.5,24.601
2015-02-12 22:45:04,484.7,24.61
2015-02-12 23:00:04,492.3,24.52
2015-02-12 23:15:04,488.8,24.96
2015-02-12 23:30:04,464.9,24.69
2015-02-12 23:45:04,0,24.43
2015-02-13 00:00:04,0,23.3
2015-02-13 00:15:04,0,22.35
2015-02-13 00:30:05,0,21.58
2015-02-13 00:45:04,0,20.89
2015-02-13 01:00:04,0,20.29
2015-02-13 01:15:04,0,19.844
2015-02-13 01:30:04,0,19.44
2015-02-13 01:45:04,0,19.09
2015-02-13 02:00:04,0,18.784
2015-02-13 02:15:04,0,18.49
2015-02-13 02:30:04,0,18.24
2015-02-13 02:45:04,0,17.98
2015-02-13 03:00:04,0,17.72
2015-02-13 03:15:04,0,17.478
2015-02-13 03:30:04,0,17.3
2015-02-13 03:45:03,0,17.04
2015-02-13 04:00:04,0,16.91
2015-02-13 04:15:04,0,16.7
2015-02-13 04:30:03,0,16.53
2015-02-13 04:45:04,0,16.44
2015-02-13 05:00:03,0,16.296
2015-02-13 05:15:03,0,16.1
2015-02-13 05:30:03,0,16.01
2015-02-13 05:45:03,0,15.84
2015-02-13 06:00:04,0,15.75
2015-02-13 06:15:03,24,15.643
2015-02-13 06:30:03,144,15.5
2015-02-13 06:45:03,349.6,15.41
2015-02-13 07:00:04,478,15.32
2015-02-13 07:15:04,584,16.87
2015-02-13 07:30:03,610,18.222
2015-02-13 07:45:04,628,19.18
2015-02-13 08:00:04,639.3,20.29
2015-02-13 08:15:04,758.1,21.24
2015-02-13 08:30:04,759.1,22.27
2015-02-13 08:45:04,758.4,22.27
2015-02-13 09:00:03,758.1,21.92
2015-02-13 09:15:03,758.5,21.84
2015-02-13 09:30:04,758.1,21.66
2015-02-13 09:45:03,758,21.58
2015-02-13 10:00:03,757.9,21.41
2015-02-13 10:15:03,758,21.15
2015-02-13 10:30:04,758,20.98
2015-02-13 10:45:04,757.1,20.63
2015-02-13 11:00:04,756.9,20.29
2015-02-13 11:15:04,757,19.796
2015-02-13 11:30:04,755,19.44
2015-02-13 11:45:04,746.9,19.001
2015-02-13 12:00:03,740.1,18.58
2015-02-13 12:15:04,632,18.168
2015-02-13 12:30:04,703,17.9
2015-02-13 12:45:04,689.6,17.64
2015-02-13 13:00:03,694.1,17.47
2015-02-13 13:15:03,681,17.3
2015-02-13 13:30:04,717,17.13
2015-02-13 13:45:04,683,17.022
2015-02-13 14:00:03,671,16.87
2015-02-13 14:15:04,652,16.7
2015-02-13 14:30:04,612,16.53
2015-02-13 14:45:03,582.2,16.35
2015-02-13 15:00:03,542,16.18
2015-02-13 15:15:03,506.9,15.938
2015-02-13 15:30:04,440.7,15.84
2015-02-13 15:45:04,451.5,15.67
2015-02-13 16:00:04,434,15.5
2015-02-13 16:15:03,403,15.41
2015-02-13 16:30:04,343,15.24
2015-02-13 16:45:04,276.5,15.126
2015-02-13 17:00:04,186.9,14.98
2015-02-13 17:15:05,71,14.89
2015-02-13 17:30:04,14,14.81
2015-02-13 17:45:04,0,14.72
2015-02-13 18:00:04,0,14.55
2015-02-13 18:15:04,0,14.46
2015-02-13 18:30:03,0,14.38
2015-02-13 18:45:04,0,14.29
2015-02-13 19:00:04,0,14.2
2015-02-13 19:15:03,0,14.12
2015-02-13 19:30:04,0,14.03
2015-02-13 19:45:04,0,13.94
2015-02-13 20:00:04,0,13.86
2015-02-13 20:15:03,0,13.77
2015-02-13 20:30:03,0,13.689
2015-02-13 20:45:04,0,13.6
2015-02-13 21:00:04,0,13.51
2015-02-13 21:15:04,0,13.42
2015-02-13 21:30:03,0,13.34
2015-02-13 21:45:03,0,13.25
2015-02-13 22:00:04,0,13.25
2015-02-13 22:15:04,0,13.195
2015-02-13 22:30:04,0,13.08
2015-02-13 22:45:03,0,12.99
2015-02-13 23:00:03,0,12.9
2015-02-13 23:15:03,0,12.82
2015-02-13 23:30:03,0,12.73
2015-02-13 23:45:04,505.1,12.99
2015-02-14 00:00:04,511.4,16.01
2015-02-14 00:15:03,512,17.21
2015-02-14 00:30:04,508.5,19.107
2015-02-14 00:45:04,503.6,20.12
2015-02-14 01:00:03,503.7,21.06
2015-02-14 01:15:03,0,20.98
2015-02-14 01:30:03,0,19.26
2015-02-14 01:45:04,0,18.15
2015-02-14 02:00:04,0,17.3
2015-02-14 02:15:04,0,16.61
2015-02-14 02:30:04,0,16.1
2015-02-14 02:45:04,0,15.58
2015-02-14 03:00:04,0,15.15
2015-02-14 03:15:04,0,14.81
2015-02-14 03:30:04,0,14.55
2015-02-14 03:45:04,0,14.308
2015-02-14 04:00:03,0,14.12
2015-02-14 04:15:03,0,13.94
2015-02-14 04:30:03,0,13.77
2015-02-14 04:45:03,0,13.6
2015-02-14 05:00:04,0,13.51
2015-02-14 05:15:03,0,13.34
2015-02-14 05:30:03,0,13.25
2015-02-14 05:45:04,0,13.08
2015-02-14 06:00:04,0,12.99
2015-02-14 06:15:04,30,12.9
2015-02-14 06:30:04,157,12.82
2015-02-14 06:45:04,300,12.73
2015-02-14 07:00:04,420,12.64
2015-02-14 07:15:04,460,12.64
2015-02-14 07:30:04,477,12.64
2015-02-14 07:45:04,486,12.55
2015-02-14 08:00:04,502,12.47
2015-02-14 08:15:04,730.9,12.51
2015-02-14 08:30:04,751,12.82
2015-02-14 08:45:03,752,13.42
2015-02-14 09:00:03,751.8,13.94
2015-02-14 09:15:03,752.6,14.38
2015-02-14 09:30:03,752.7,14.81
2015-02-14 09:45:04,753,15.07
2015-02-14 10:00:03,753,15.24
2015-02-14 10:15:04,753.2,15.41
2015-02-14 10:30:04,753.5,15.58
2015-02-14 10:45:04,753.7,15.75
